date,open,high,low,close,volume,Volume
1991/4/5,0.640625,0.640625,0.613838971,0.619419992,0.49529779,155411200
1991/4/8,0.618304014,0.625,0.613838971,0.625,0.499759287,72475200
1991/4/9,0.622767985,0.625,0.609375,0.613838971,0.490834892,119448000
1991/4/10,0.611607015,0.618304014,0.595982015,0.597097993,0.477448553,216406400
1991/4/11,0.604911029,0.637277007,0.602679014,0.633929014,0.506899118,355588800
1991/4/12,0.638392985,0.654017985,0.622767985,0.640625,0.512253165,367718400
1991/4/15,0.551338971,0.575892985,0.535713971,0.555804014,0.444429308,1700384000
1991/4/16,0.564732015,0.575892985,0.558036029,0.573661029,0.458707988,620782400
1991/4/17,0.580357015,0.580357015,0.553570986,0.564732015,0.451568276,322403200
1991/4/18,0.560267985,0.5625,0.542411029,0.544642985,0.435504794,247363200
1991/4/19,0.544642985,0.549107015,0.53125,0.532365978,0.425687999,287302400
1991/4/22,0.53125,0.553570986,0.524554014,0.549107015,0.439074308,257017600
1991/4/23,0.555804014,0.5625,0.537945986,0.549107015,0.439074308,237294400
1991/4/24,0.551338971,0.553570986,0.540179014,0.542411029,0.433720142,105448000
1991/4/25,0.533482015,0.533482015,0.522320986,0.522320986,0.417655826,315380800
1991/4/26,0.522320986,0.526786029,0.515625,0.523437977,0.418548971,125059200
1991/4/29,0.522320986,0.537945986,0.520088971,0.520088971,0.415871114,206707200
1991/4/30,0.515625,0.520088971,0.486606985,0.491070986,0.392667919,711446400
1991/5/1,0.428570986,0.4375,0.419643015,0.421875,0.337337643,1868372800
1991/5/2,0.426339,0.444195986,0.424106985,0.4375,0.349831671,811126400
1991/5/3,0.4375,0.441964,0.430804014,0.4375,0.349831671,243712000
1991/5/6,0.433036,0.450893015,0.430804014,0.448661,0.358756095,212329600
1991/5/7,0.455356985,0.457589,0.450893015,0.452008992,0.361433208,270480000
1991/5/8,0.453125,0.453125,0.439731985,0.444195986,0.355185896,176780800
1991/5/9,0.446429014,0.459820986,0.444195986,0.453125,0.362325668,238212800
1991/5/10,0.459820986,0.475445986,0.453125,0.457589,0.365895063,241729600
1991/5/13,0.466518015,0.477679014,0.459820986,0.470981985,0.376604348,244944000
1991/5/14,0.470981985,0.479911,0.46875,0.477679014,0.381959409,216944000
1991/5/15,0.459820986,0.464286,0.4375,0.450893015,0.360540837,518347200
1991/5/16,0.455356985,0.457589,0.433036,0.4375,0.349831671,382132800
1991/5/17,0.435268015,0.435268015,0.415179014,0.419643015,0.335552841,471060800
1991/5/20,0.421875,0.424106985,0.392856985,0.395089,0.316727549,262169600
1991/5/21,0.404018015,0.415179014,0.399554014,0.404018015,0.32388553,349798400
1991/5/22,0.408481985,0.415179014,0.40625,0.412945986,0.331042737,227270400
1991/5/23,0.415179014,0.417411,0.399554014,0.402902007,0.322990835,208656000
1991/5/24,0.40625,0.410714,0.401786,0.409597993,0.32835871,97126400
1991/5/28,0.410714,0.412945986,0.404018015,0.410714,0.329253495,171438400
1991/5/29,0.412945986,0.426339,0.409597993,0.419643015,0.336411417,384003200
1991/5/30,0.419643015,0.426339,0.415179014,0.425222993,0.340884656,158345600
1991/5/31,0.424106985,0.426339,0.412945986,0.419643015,0.336411417,217862400
1991/6/3,0.419643015,0.441964,0.417411,0.439731985,0.352515966,220068800
1991/6/4,0.441964,0.441964,0.433036,0.438616008,0.351621419,184284800
1991/6/5,0.439731985,0.439731985,0.426339,0.428570986,0.343568623,133291200
1991/6/6,0.430804014,0.430804014,0.415179014,0.416294992,0.333727479,168504000
1991/6/7,0.412945986,0.419643015,0.407366008,0.411830008,0.330148041,152745600
1991/6/10,0.410714,0.420758992,0.408481985,0.410714,0.329253495,167440000
1991/6/11,0.401786,0.40625,0.395089,0.398438007,0.319412351,188563200
1991/6/12,0.392856985,0.399554014,0.368304014,0.378347993,0.303306907,435635200
1991/6/13,0.379464,0.383929014,0.372768015,0.376116008,0.301517606,211366400
1991/6/14,0.381695986,0.381695986,0.363839,0.367188007,0.294360429,225288000
1991/6/17,0.366070986,0.377231985,0.366070986,0.375,0.30062294,166600000
1991/6/18,0.377231985,0.386161,0.370536,0.376116008,0.301517606,244686400
1991/6/19,0.372768015,0.377231985,0.368304014,0.372768015,0.298833668,178942400
1991/6/20,0.368304014,0.375,0.363839,0.375,0.30062294,144043200
1991/6/21,0.375,0.379464,0.372768015,0.375,0.30062294,206012800
1991/6/24,0.372768015,0.377231985,0.368304014,0.372768015,0.298833668,207984000
1991/6/25,0.375,0.383929014,0.372768015,0.378347993,0.303306907,227920000
1991/6/26,0.381695986,0.388393015,0.377231985,0.383929014,0.307780862,250443200
1991/6/27,0.379464,0.381695986,0.372768015,0.379464,0.304201514,151200000
1991/6/28,0.377231985,0.379464,0.359375,0.370536,0.297044396,226643200
1991/7/1,0.377231985,0.383929014,0.372768015,0.379464,0.304201514,194824000
1991/7/2,0.377231985,0.381695986,0.372768015,0.377231985,0.302412331,120142400
1991/7/3,0.377231985,0.388393015,0.372768015,0.385044992,0.308675617,310374400
1991/7/5,0.383929014,0.410714,0.381695986,0.407366008,0.326569378,331553600
1991/7/8,0.404018015,0.421875,0.401786,0.417411,0.334622294,307081600
1991/7/9,0.421875,0.430804014,0.415179014,0.418527007,0.33551687,226441600
1991/7/10,0.424106985,0.430804014,0.417411,0.421875,0.338200808,156576000
1991/7/11,0.419643015,0.421875,0.410714,0.417411,0.334622294,145913600
1991/7/12,0.421875,0.421875,0.412945986,0.417411,0.334622294,132753600
1991/7/15,0.417411,0.417411,0.40625,0.40625,0.325674802,137984000
1991/7/16,0.40625,0.408481985,0.388393015,0.390625,0.313148856,222992000
1991/7/17,0.388393015,0.397320986,0.377231985,0.379464,0.304201514,208936000
1991/7/18,0.392856985,0.402902007,0.383929014,0.400669992,0.321201533,398316800
1991/7/19,0.404018015,0.412945986,0.401786,0.410714,0.329253495,128419200
1991/7/22,0.408481985,0.412945986,0.40625,0.410714,0.329253495,108673600
1991/7/23,0.412945986,0.415179014,0.397320986,0.401786,0.322096199,133056000
1991/7/24,0.404018015,0.408481985,0.397320986,0.401786,0.322096199,131454400
1991/7/25,0.404018015,0.408481985,0.401786,0.404018015,0.32388553,65800000
1991/7/26,0.408481985,0.408481985,0.399554014,0.400669992,0.321201533,74233600
1991/7/29,0.404018015,0.40625,0.397320986,0.40625,0.325674802,53300800
1991/7/30,0.40625,0.417411,0.40625,0.415179014,0.332832903,91862400
1991/7/31,0.415179014,0.418527007,0.401786,0.412945986,0.331042737,102804800
1991/8/1,0.410714,0.439731985,0.408481985,0.438616008,0.351621419,448425600
1991/8/2,0.444195986,0.448661,0.4375,0.446429014,0.357884854,273011200
1991/8/5,0.444195986,0.444195986,0.430804014,0.433036,0.347148091,100766400
1991/8/6,0.435268015,0.448661,0.426339,0.441964,0.354305446,220427200
1991/8/7,0.441964,0.455356985,0.440847993,0.449777007,0.360568732,211612800
1991/8/8,0.453125,0.462054014,0.446429014,0.450893015,0.361463279,189448000
1991/8/9,0.450893015,0.455356985,0.444195986,0.453125,0.363252759,154403200
1991/8/12,0.453125,0.466518015,0.450893015,0.462054014,0.37041074,142531200
1991/8/13,0.464286,0.482143015,0.464286,0.477679014,0.382936597,286585600
1991/8/14,0.488839,0.491070986,0.481027007,0.489955008,0.39277786,200715200
1991/8/15,0.491070986,0.491070986,0.473214,0.475445986,0.381146699,145544000
1991/8/16,0.470981985,0.484375,0.466518015,0.475445986,0.381146699,158804800
1991/8/19,0.441964,0.460938007,0.433036,0.450893015,0.362279415,322481600
1991/8/20,0.459820986,0.462054014,0.450893015,0.455356985,0.365866214,199427200
1991/8/21,0.46875,0.483258992,0.464286,0.479911,0.385594606,223372800
1991/8/22,0.482143015,0.488839,0.479911,0.484375,0.389181376,165648000
